Date,Year,Quarter,Month,Platform,Network,Program,Genre,Daypart,Advertiser,Advertiser_Industry,Campaign_ID,Ad_Duration_Sec,Region,Device_Type,Booked_Impressions,Delivered_Impressions,Fill_Rate,CPM,Gross_Revenue,Agency_Fee_Pct,Net_Revenue,Inventory_Units,Sold_Units,Under_Delivery_Flag
2024-01-03,2024,Q1,Jan,Streaming,PlayWave,Studio Comedy,Comedy,Daytime,Golden Foods,Food & Beverage,CMP-2024-6906,30,West,Mobile,792075,852649,1.0765,18.64,15893.38,0.12,13986.17,12,12,N
2024-01-03,2024,Q1,Jan,Linear TV,Prime Network,House Challenge,Reality,Daytime,Vertex Devices,Technology,CMP-2024-3232,30,West,TV,1284854,1235024,0.9612,21.92,27071.73,0.15,23010.97,15,14,N
2024-01-03,2024,Q1,Jan,Linear TV,Prime Network,Live Football,Sports,Prime,CloudWorks,Technology,CMP-2024-9469,30,National,TV,750456,772199,1.029,39.37,30401.47,0.15,25841.25,9,9,N
2024-01-03,2024,Q1,Jan,Streaming,StreamNow,Weekend Life,Reality,Prime,Union Financial,Finance,CMP-2024-2902,30,South,Mobile,1028976,1071303,1.0411,38.07,40784.51,0.15,34666.83,17,17,N
2024-01-03,2024,Q1,Jan,Streaming,StreamNow,Night Shift,Drama,Prime,NexaTech,Technology,CMP-2024-3634,30,National,Tablet,455883,475269,1.0425,41.46,19704.65,0.15,16748.95,6,6,N
2024-01-03,2024,Q1,Jan,Streaming,StreamNow,Action Showcase,Movies,Prime,Everyday Retail,Retail,CMP-2024-4353,30,Northeast,Connected TV,575168,435908,0.7579,41.37,18033.51,0.12,15869.49,11,8,Y
2024-01-03,2024,Q1,Jan,Streaming,StreamNow,Family Movie,Movies,Prime,Pixel Systems,Technology,CMP-2024-5672,30,National,Connected TV,774122,733146,0.9471,53.05,38893.4,0.12,34226.19,16,15,N
2024-01-03,2024,Q1,Jan,Streaming,ViewPoint,Prime Drama,Drama,Early Morning,BrightCard,Finance,CMP-2024-3979,30,South,Connected TV,721001,718777,0.9969,32.48,23345.88,0.15,19844.0,9,9,N
2024-01-03,2024,Q1,Jan,Streaming,ViewPoint,Action Showcase,Movies,Early Fringe,CloudWorks,Technology,CMP-2024-5081,30,Midwest,Tablet,688924,673369,0.9774,35.45,23870.93,0.12,21006.42,11,11,N
2024-01-03,2024,Q1,Jan,Streaming,ViewPoint,Evening Report,News,Prime,WellLife,Pharma,CMP-2024-8894,15,South,Connected TV,999851,1065125,1.0653,46.08,49080.96,0.15,41718.82,17,17,N
2024-01-03,2024,Q1,Jan,Streaming,ViewPoint,City Stories,Drama,Prime,ConnectMobile,Telecom,CMP-2024-9202,30,National,Web,778190,742357,0.954,45.13,33502.57,0.15,28477.18,13,12,N
2024-01-03,2024,Q1,Jan,Linear TV,Vista Broadcast,Night Shift,Drama,Late Night,UrbanMart,Retail,CMP-2024-1712,15,National,TV,1166117,1213999,1.0411,17.31,21014.32,0.12,18492.6,24,24,N
2024-01-03,2024,Q1,Jan,Linear TV,Vista Broadcast,Night Shift,Drama,Daytime,WellLife,Pharma,CMP-2024-2169,30,National,TV,297589,310965,1.0449,21.95,6825.68,0.1,6143.11,4,4,N
2024-01-03,2024,Q1,Jan,Linear TV,Vista Broadcast,Prime Drama,Drama,Daytime,Apex Motors,Auto,CMP-2024-4920,30,National,TV,1223284,1209304,0.9886,19.29,23327.47,0.12,20528.17,13,13,N
2024-01-03,2024,Q1,Jan,Linear TV,Vista Broadcast,Evening Report,News,Early Morning,Bright Pictures,Entertainment,CMP-2024-8844,30,National,TV,462835,486526,1.0512,18.1,8806.12,0.12,7749.39,7,7,N
2024-01-03,2024,Q1,Jan,Linear TV,Vista Broadcast,Market Desk,News,Daytime,WellLife,Pharma,CMP-2024-9312,30,National,TV,219226,211940,0.9668,20.05,4249.4,0.12,3739.47,4,4,N
2024-01-03,2024,Q1,Jan,Streaming,Vista+,Talent Stage,Reality,Prime,Star Studios,Entertainment,CMP-2024-1249,30,National,Web,891047,939208,1.054,30.65,28786.73,0.15,24468.72,10,10,N
2024-01-03,2024,Q1,Jan,Streaming,Vista+,Basketball Night,Sports,Early Fringe,First Capital,Finance,CMP-2024-3241,30,Midwest,Web,974854,725248,0.744,43.67,31671.58,0.1,28504.42,21,16,Y
2024-01-03,2024,Q1,Jan,Streaming,Vista+,Market Desk,News,Daytime,Golden Foods,Food & Beverage,CMP-2024-7174,30,National,Web,552416,577326,1.0451,26.71,15420.38,0.12,13569.93,8,8,N
2024-01-03,2024,Q1,Jan,Streaming,Vista+,Talent Stage,Reality,Late Night,CarePlus,Pharma,CMP-2024-7626,60,National,Tablet,829131,871452,1.051,32.32,28165.33,0.12,24785.49,9,9,N
2024-01-03,2024,Q1,Jan,Streaming,Vista+,Weekend Life,Reality,Daytime,Metro Wireless,Telecom,CMP-2024-9146,30,Midwest,Mobile,644713,642207,0.9961,23.11,14841.4,0.15,12615.19,7,7,N
2024-01-04,2024,Q1,Jan,Linear TV,Metro TV,Championship Studio,Sports,Early Morning,Summit Motors,Auto,CMP-2024-3455,30,National,TV,1389091,1450615,1.0443,25.61,37150.25,0.15,31577.71,24,24,N
2024-01-04,2024,Q1,Jan,Linear TV,Metro TV,Legacy,Drama,Daytime,Golden Foods,Food & Beverage,CMP-2024-6455,30,Midwest,TV,465311,471985,1.0143,20.27,9567.14,0.15,8132.07,5,5,N
2024-01-04,2024,Q1,Jan,Linear TV,Metro TV,Family Nights,Comedy,Prime,UrbanMart,Retail,CMP-2024-6536,30,National,TV,1309975,1233051,0.9413,25.89,31923.69,0.1,28731.32,20,19,N
2024-01-04,2024,Q1,Jan,Linear TV,Metro TV,Studio Comedy,Comedy,Early Fringe,Union Financial,Finance,CMP-2024-7492,30,National,TV,399797,395228,0.9886,18.37,7260.34,0.12,6389.1,8,8,N
2024-01-04,2024,Q1,Jan,Linear TV,National One,Sports Central,Sports,Daytime,CarePlus,Pharma,CMP-2024-3614,30,South,TV,1424329,1533780,1.0768,30.24,46381.51,0.15,39424.28,30,30,N
2024-01-04,2024,Q1,Jan,Linear TV,National One,Comedy Hour,Comedy,Daytime,Union Financial,Finance,CMP-2024-6333,30,South,TV,938779,872110,0.929,16.82,14668.89,0.1,13202.0,14,13,N
2024-01-04,2024,Q1,Jan,Streaming,PlayWave,Championship Studio,Sports,Prime,Velocity Cars,Auto,CMP-2024-7305,30,National,Connected TV,319824,318602,0.9962,70.4,22429.58,0.15,19065.14,6,6,N
2024-01-04,2024,Q1,Jan,Streaming,PlayWave,Championship Studio,Sports,Prime,Apex Motors,Auto,CMP-2024-8548,15,Midwest,Connected TV,255134,266698,1.0453,51.13,13636.27,0.1,12272.64,4,4,N
2024-01-04,2024,Q1,Jan,Streaming,PlayWave,House Challenge,Reality,Prime,HealthCore Pharma,Pharma,CMP-2024-8833,30,Midwest,Web,924865,997378,1.0784,43.79,43675.18,0.15,37123.9,12,12,N
2024-01-04,2024,Q1,Jan,Streaming,PlayWave,Family Movie,Movies,Prime,Apex Motors,Auto,CMP-2024-9074,30,National,Connected TV,305703,299522,0.9798,57.51,17225.51,0.12,15158.45,4,4,N
2024-01-04,2024,Q1,Jan,Linear TV,Prime Network,Legacy,Drama,Late Night,Harvest Brands,Food & Beverage,CMP-2024-2704,30,South,TV,176228,173380,0.9838,20.43,3542.15,0.1,3187.93,2,2,N
2024-01-04,2024,Q1,Jan,Linear TV,Prime Network,Movie Premiere,Movies,Daytime,Everyday Retail,Retail,CMP-2024-3051,30,National,TV,886618,678148,0.7649,19.53,13244.23,0.12,11654.92,13,10,Y
2024-01-04,2024,Q1,Jan,Linear TV,Prime Network,Championship Studio,Sports,Early Fringe,WaveTel,Telecom,CMP-2024-5305,30,National,TV,714169,684988,0.9591,31.5,21577.12,0.15,18340.55,10,10,N
2024-01-04,2024,Q1,Jan,Linear TV,Prime Network,Family Nights,Comedy,Daytime,Bright Pictures,Entertainment,CMP-2024-8770,30,Northeast,TV,350481,366153,1.0447,14.32,5243.31,0.15,4456.81,4,4,N
2024-01-04,2024,Q1,Jan,Linear TV,Prime Network,Prime Drama,Drama,Prime,WellLife,Pharma,CMP-2024-8945,30,National,TV,1492136,1432188,0.9598,34.09,48823.29,0.1,43940.96,31,30,N
2024-01-04,2024,Q1,Jan,Streaming,StreamNow,Classic Cinema,Movies,Prime,SoundBox,Entertainment,CMP-2024-7987,30,National,Mobile,265145,219811,0.829,34.25,7528.53,0.1,6775.68,3,2,Y
2024-01-04,2024,Q1,Jan,Streaming,StreamNow,Late Laughs,Comedy,Early Morning,Velocity Cars,Auto,CMP-2024-8315,15,National,Connected TV,145901,139451,0.9558,26.22,3656.41,0.15,3107.95,2,2,N
2024-01-04,2024,Q1,Jan,Streaming,ViewPoint,Night Shift,Drama,Early Fringe,Bright Pictures,Entertainment,CMP-2024-1175,30,Northeast,Connected TV,383534,321210,0.8375,28.29,9087.03,0.15,7723.98,5,4,Y
2024-01-04,2024,Q1,Jan,Streaming,ViewPoint,Movie Premiere,Movies,Prime,HealthCore Pharma,Pharma,CMP-2024-8129,30,National,Connected TV,900714,840438,0.9331,59.36,49888.4,0.12,43901.79,10,9,N
2024-01-04,2024,Q1,Jan,Linear TV,Vista Broadcast,Family Nights,Comedy,Prime,SecureBank,Finance,CMP-2024-1299,30,Northeast,TV,1239701,1205213,0.9722,28.48,34324.47,0.12,30205.53,17,17,N
2024-01-04,2024,Q1,Jan,Linear TV,Vista Broadcast,City Stories,Drama,Daytime,NorthStar Auto,Auto,CMP-2024-1879,30,National,TV,1412672,1512683,1.0708,25.5,38573.42,0.1,34716.08,23,23,N
2024-01-04,2024,Q1,Jan,Linear TV,Vista Broadcast,City Stories,Drama,Daytime,Metro Wireless,Telecom,CMP-2024-6322,15,Northeast,TV,1270922,1187290,0.9342,15.61,18533.6,0.12,16309.57,14,13,N
2024-01-04,2024,Q1,Jan,Streaming,Vista+,Legacy,Drama,Daytime,Metro Wireless,Telecom,CMP-2024-4449,30,West,Mobile,637929,672923,1.0549,23.98,16136.69,0.1,14523.02,13,13,N
